================================================================================
FASE 3A.1 — PROPOSTA DE INFERÊNCIA DE CATEGORIA (DRY-RUN)
Gerado em: 2026-05-09 15:25:30
NENHUM UPDATE FOI EXECUTADO. Este relatório é somente leitura.
================================================================================

Total de os_itens sem categoria: 220

------------------------------------------------------------
--- ALTA CONFIANÇA (>= 85%) ---
Subtotal: 220 itens

 item_id  numero_os         sistema         servico                              tipo_nf     cat_proposta  conf%  regra
--------------------------------------------------------------------------------------------------------------------------------------------
     252  OS-2026-0193      Arrefecimento   FORNEC. EMBREAGEM VISCOSA E MANGUEI  Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     253  OS-2026-0193      Arrefecimento   FORNEC. EMBREAGEM VISCOSA E MANGUEI  Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
      51  OS-2025-0036      Arrefecimento   LIMPEZA RADIADOR E INTERCOOLER       Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
     254  OS-2026-0193      Arrefecimento   M.O. SUBSTITUIÇÃO DE EMBREAGEM VISC  Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     121  OS-2025-0089      Arrefecimento   REPARO MANGUEIRA RADIADOR            Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
     255  OS-2026-0194      Câmbio          FORNEC. CABO DE EMBREAGEM            Produto     Compra         92%  Regra 1 — tipo_nf=Produto (1 NF)
     215  OS-2026-0164      Câmbio          FORNEC. CABOS CÂMBIO                 Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     204  OS-2026-0155      Câmbio          FORNEC. CILINDRO EMBREAGEM           Produto     Compra         92%  Regra 1 — tipo_nf=Produto (1 NF)
     219  OS-2026-0165      Câmbio          FORNEC. FLUÍDO DE FREIO E CILINDRO   Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     167  OS-2025-0128      Câmbio          FORNEC. KIT EMBREAGEM                Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     193  OS-2026-0145      Câmbio          FORNEC. KIT EMBREAGEM                Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     218  OS-2026-0165      Câmbio          FORNEC. KIT EMBREAGEM                Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     160  OS-2025-0124      Câmbio          FORNEC. PEÇAS CÂMBIO                 Servico     Servico        88%  Regra 1 — tipo_nf=Servico (múlt. NFs)
     228  OS-2026-0172      Câmbio          FORNEC. PEÇAS CÂMBIO                 Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     227  OS-2026-0172      Câmbio          FORNEC. PEÇAS CÂMBIO + ÓLEO          Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     217  OS-2026-0165      Câmbio          FORNEC. ROLAMENTO EMBREAGEM          Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     154  OS-2025-0118      Câmbio          FORNEC. ÓLEO TRANSMISSÃO             Produto     Compra         92%  Regra 1 — tipo_nf=Produto (1 NF)
     181  OS-2025-0137      Câmbio          FORNEC. ÓLEO TRANSMISSÃO             Produto     Compra         92%  Regra 1 — tipo_nf=Produto (1 NF)
     220  OS-2026-0165      Câmbio          M.O. KIT EMBREAGEM                   Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     161  OS-2025-0124      Câmbio          MO SUBST. ENGRENAGENS CÂMBIO         Servico     Servico        88%  Regra 1 — tipo_nf=Servico (múlt. NFs)
     259  OS-2026-0197      Câmbio          MO SUBST. PEÇAS CÂMBIO               Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
     168  OS-2025-0128      Câmbio          MO SUBST. SINCRONIZADOS E EMBREAGEM  Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     194  OS-2026-0145      Câmbio          MÃO DE OBRA SUBSTITUIÇÃO DE  EMBREA  Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
      25  OS-2025-0019      Câmbio          SUBST. KIT EMBREAGEM                 Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
      30  OS-2025-0023      Câmbio          SUBST. KIT EMBREAGEM                 Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
     216  OS-2026-0164      Câmbio          SUBST. KIT EMBREAGEM + RETÍFICA VOL  Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
     243  OS-2026-0184      Câmbio          SUBST. KIT EMBREAGEM + RETÍFICA VOL  Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
     186  OS-2025-0142      Câmbio          SUBST. KIT EMBREAGEM COMPLETO        Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
     162  OS-2025-0124      Câmbio          SUBST. PEÇAS CÂMBIO                  Servico     Servico        88%  Regra 1 — tipo_nf=Servico (múlt. NFs)
     105  OS-2025-0079      Câmbio          SUBSTITUIÇÃO DE KIT EMBREAGEM        Servico     Servico        92%  Regra 1 — tipo_nf=Servico (1 NF)
      58  OS-2025-0043      Diferencial     FORNEC. COROA E PINHÃO               Produto     Compra         88%  Regra 1 — tipo_nf=Produto (múlt. NFs)
